1000	2108.000000	1461.951000	1000	2162.000000	1462.722000	1000	2062.000000	1415.167000	1000	2078.000000	1414.179000	1000	2145.000000	1461.505000	1000	2130.000000	1573.892000	1000	2089.000000	1425.785000	1000	2228.000000	1530.929000	1000	2157.000000	1476.061000	1000	2610.000000	1774.651000	1000	2109.000000	1485.206000	1000	2092.000000	1442.752000	1000	2147.000000	1460.929000	1000	2592.000000	1733.478000	1000	2044.000000	1422.517000	1000	2569.000000	1658.655000	1000	2108.000000	1516.679000	1000	2144.000000	1478.912000	1000	1990.000000	1441.992000	1000	2153.000000	1474.505000
2000	4248.000000	3289.474500	2000	4120.000000	3302.707000	2000	5922.000000	3450.715500	2000	4137.000000	3372.432000	2000	4118.000000	3308.317000	2000	4196.000000	3448.974500	2000	4145.000000	3241.942000	2000	4262.000000	3457.030500	2000	3873.000000	3236.316000	2000	5136.000000	3587.642500	2000	4128.000000	3758.991500	2000	3896.000000	3241.551000	2000	4583.000000	3468.115000	2000	4236.000000	3303.503000	2000	3858.000000	3176.756000	2000	4754.000000	3697.600000	2000	4240.000000	3331.010500	2000	4130.000000	3308.860500	2000	4002.000000	3106.830500	2000	4192.000000	3475.842500
3000	6304.000000	4984.892667	3000	6106.000000	5020.037000	3000	6128.000000	4913.804333	3000	6135.000000	5045.095000	3000	6150.000000	5116.361333	3000	6363.000000	5277.759000	3000	5955.000000	4974.142667	3000	8910.000000	5250.448667	3000	5710.000000	4842.836333	3000	6104.000000	5175.203667	3000	6114.000000	5407.844333	3000	5919.000000	4927.919000	3000	7076.000000	5682.799000	3000	7487.000000	5443.214000	3000	7256.000000	5204.889333	3000	5947.000000	5123.819000	3000	6285.000000	5025.076667	3000	5974.000000	4899.585667	3000	5696.000000	5604.835000	3000	8856.000000	5242.994000
4000	7787.000000	6508.540250	4000	11782.000000	7243.209750	4000	11427.000000	6551.260750	4000	8225.000000	7081.631000	4000	25961.000000	6714.996000	4000	8173.000000	7056.637250	4000	7613.000000	6702.399000	4000	8130.000000	6655.177250	4000	7545.000000	7300.841500	4000	11705.000000	7214.831250	4000	8369.000000	6676.325250	4000	7608.000000	6586.366750	4000	9933.000000	7413.501000	4000	8323.000000	7130.344750	4000	26173.000000	6775.676250	4000	8969.000000	6783.133750	4000	8379.000000	6658.340750	4000	7548.000000	6497.094250	4000	7521.000000	6703.358750	4000	8183.000000	6560.648750
5000	9447.000000	8405.687400	5000	10123.000000	8519.675000	5000	9515.000000	8817.436400	5000	11208.000000	8799.888800	5000	13907.000000	8922.304000	5000	10289.000000	8989.073200	5000	9795.000000	8556.747800	5000	12382.000000	9452.116800	5000	23108.000000	8212.869400	5000	12343.000000	8768.181200	5000	9776.000000	8397.232000	5000	9459.000000	8865.319600	5000	10497.000000	8334.213400	5000	12483.000000	8839.355000	5000	10059.000000	8191.879200	5000	9521.000000	8139.321400	5000	10088.000000	8318.559200	5000	9479.000000	8265.387400	5000	9717.000000	8413.974200	5000	9503.000000	8289.976000
6000	11763.000000	10033.089000	6000	14327.000000	10281.378667	6000	14546.000000	10024.126667	6000	12153.000000	9972.859167	6000	16943.000000	10005.518667	6000	18213.000000	10071.913333	6000	12212.000000	10455.463000	6000	12219.000000	10050.265167	6000	11365.000000	10199.860333	6000	12312.000000	10168.699000	6000	11736.000000	10263.361000	6000	11365.000000	10168.348333	6000	14426.000000	10370.214500	6000	11400.000000	10150.196333	6000	11797.000000	10544.346500	6000	11413.000000	10068.968833	6000	12064.000000	9963.871333	6000	11340.000000	10334.192333	6000	12107.000000	10180.839667	6000	11384.000000	10363.997000
7000	14777.000000	12707.693714	7000	19907.000000	11638.172286	7000	13235.000000	11531.035857	7000	13274.000000	11916.369571	7000	13352.000000	11648.551857	7000	19796.000000	11992.702571	7000	13756.000000	11978.922429	7000	19791.000000	11845.387143	7000	13197.000000	11567.396429	7000	13310.000000	12024.282714	7000	13700.000000	11693.283429	7000	13267.000000	11654.874000	7000	13404.000000	11979.095143	7000	13189.000000	11781.232857	7000	16164.000000	11881.371429	7000	14321.000000	12131.319000	7000	16342.000000	11867.312143	7000	13276.000000	11893.434429	7000	13618.000000	11899.171143	7000	13237.000000	11737.429714
8000	16755.000000	13445.051875	8000	15167.000000	13799.949250	8000	15108.000000	13672.746750	8000	15110.000000	13488.354375	8000	15206.000000	13758.959250	8000	15152.000000	14335.014375	8000	16114.000000	13896.486500	8000	22732.000000	13920.543750	8000	15119.000000	13504.821875	8000	15308.000000	13526.747750	8000	15185.000000	13697.851375	8000	15121.000000	13861.405250	8000	15647.000000	14263.591625	8000	15579.000000	13509.041000	8000	15492.000000	13699.284125	8000	15211.000000	13250.924000	8000	15155.000000	13437.090750	8000	15230.000000	13620.359875	8000	15514.000000	13842.266875	8000	15694.000000	13904.202750
9000	17543.000000	16374.897556	9000	25766.000000	15380.013556	9000	25772.000000	15533.879000	9000	18961.000000	15580.741667	9000	17099.000000	15489.935111	9000	18321.000000	15375.128667	9000	17067.000000	16194.182889	9000	45902.000000	15812.870444	9000	17088.000000	15117.548889	9000	18130.000000	15082.754556	9000	17154.000000	15456.902333	9000	17042.000000	15342.733000	9000	22986.000000	15425.198000	9000	17046.000000	15678.522333	9000	17624.000000	15246.067889	9000	16980.000000	15080.272000	9000	17097.000000	15485.403111	9000	17089.000000	15220.524000	9000	21317.000000	15460.473667	9000	17090.000000	15351.198778
10000	19404.000000	17431.752100	10000	18970.000000	17028.523600	10000	20452.000000	17487.830000	10000	25147.000000	18378.888500	10000	19609.000000	17839.422800	10000	18940.000000	17383.528400	10000	20293.000000	17442.807500	10000	18912.000000	17395.736800	10000	18977.000000	17275.621700	10000	18889.000000	16805.123800	10000	19377.000000	16927.328600	10000	18907.000000	17437.795300	10000	24577.000000	17067.627900	10000	18951.000000	17255.260400	10000	19454.000000	17153.819500	10000	19008.000000	16958.739900	10000	22468.000000	17073.734000	10000	18894.000000	17139.769000	10000	19914.000000	17696.807600	10000	18907.000000	17020.054000
